BUG,PORT
quiz.int.vidio.com,443
104.22.5.240,443
104.22.4.240,443
172.67.5.14,443
quiz.vidio.com,443
img.email3.vidio.com,443
quiz.staging.vidio.com,443
quiz.int.vidio.com,80
104.22.5.240,80
104.22.4.240,80
172.67.5.14,80
quiz.vidio.com,80
img.email3.vidio.com,80
quiz.staging.vidio.com,80
